Name,Country,Query_Name,Latitude,Longitude,
Bakar,Croatie,BAKAR,45.3068046,14.5342464,"Harbor.create(name: ""Bakar"", lat: 45.3068046, lng: 14.5342464, query: ""BAKAR"")"
Balboa,Panama,BALBOA,8.9613962,-79.5631537,"Harbor.create(name: ""Balboa"", lat: 8.9613962, lng: -79.5631537, query: ""BALBOA"")"
Balikpapan,Indonesie,BALIKPAPAN,-1.2379274,116.8528526,"Harbor.create(name: ""Balikpapan"", lat: -1.2379274, lng: 116.8528526, query: ""BALIKPAPAN"")"
Balise A,France,BALISE_A,46.332878,-1.101123,"Harbor.create(name: ""Balise A"", lat: 46.332878, lng: -1.101123, query: ""BALISE_A"")"
Ballenas Bay,Mexique,BALLENAS_BAY,26.0239044,-111.3570907,"Harbor.create(name: ""Ballenas Bay"", lat: 26.0239044, lng: -111.3570907, query: ""BALLENAS_BAY"")"
Baltimore,Etats-Unis,BALTIMORE,39.2903848,-76.6121893,"Harbor.create(name: ""Baltimore"", lat: 39.2903848, lng: -76.6121893, query: ""BALTIMORE"")"
Banda I,Indonesie,BANDA_HARBOUR_NAIRA,-4.554308499999999,129.9298807,"Harbor.create(name: ""Banda I"", lat: -4.554308499999999, lng: 129.9298807, query: ""BANDA_HARBOUR_NAIRA"")"
Bandar Abbas,Iran,BANDAR_ABBAS,27.1832216,56.2666455,"Harbor.create(name: ""Bandar Abbas"", lat: 27.1832216, lng: 56.2666455, query: ""BANDAR_ABBAS"")"
Bandar-E Lengeh,Iran,BANDAR-E_LENGEH,26.5627867,54.888679,"Harbor.create(name: ""Bandar-E Lengeh"", lat: 26.5627867, lng: 54.888679, query: ""BANDAR-E_LENGEH"")"
Bangkok,Thailande,BANGKOK,13.7563309,100.5017651,"Harbor.create(name: ""Bangkok"", lat: 13.7563309, lng: 100.5017651, query: ""BANGKOK"")"
Banjarmasin,Indonesie,SUNGAI_BARITO,-3.3186067,114.5943784,"Harbor.create(name: ""Banjarmasin"", lat: -3.3186067, lng: 114.5943784, query: ""SUNGAI_BARITO"")"
Banjul (Bathurst),Gambie,BANJUL-BATHURST,13.4548761,-16.5790323,"Harbor.create(name: ""Banjul (Bathurst)"", lat: 13.4548761, lng: -16.5790323, query: ""BANJUL-BATHURST"")"
Banyuls,France,BANYULS,42.48343,3.128874,"Harbor.create(name: ""Banyuls"", lat: 42.48343, lng: 3.128874, query: ""BANYULS"")"
Bar,Montenegro,BAR,42.0965529,19.0886121,"Harbor.create(name: ""Bar"", lat: 42.0965529, lng: 19.0886121, query: ""BAR"")"
Barfleur,France,BARFLEUR,49.670616,-1.263766,"Harbor.create(name: ""Barfleur"", lat: 49.670616, lng: -1.263766, query: ""BARFLEUR"")"
Barra Norte,Bresil,BARRA_NORTE,-21.116667,-41.73333299999999,"Harbor.create(name: ""Barra Norte"", lat: -21.116667, lng: -41.73333299999999, query: ""BARRA_NORTE"")"
Barrow I.,Australie,BARROW_I-WAPET,,,
Barrow in Furness,Royaume-Uni,BARROW_IN_FURNESS,54.108967,-3.218894,"Harbor.create(name: ""Barrow in Furness"", lat: 54.108967, lng: -3.218894, query: ""BARROW_IN_FURNESS"")"
Barry,Royaume-Uni,BARRY,51.3997529,-3.2825859,"Harbor.create(name: ""Barry"", lat: 51.3997529, lng: -3.2825859, query: ""BARRY"")"
Urville,France (Terres australes et antarctiques),BASE_DUMONT_D_URVILLE,,,
Basora (Al Basrah),Irak,AL_BASRAH,30.5081033,47.7834888,"Harbor.create(name: ""Basora (Al Basrah)"", lat: 30.5081033, lng: 47.7834888, query: ""AL_BASRAH"")"
Bassein,Birmanie,BASSEIN,16.7753609,94.7381013,"Harbor.create(name: ""Bassein"", lat: 16.7753609, lng: 94.7381013, query: ""BASSEIN"")"
Bassein River,Birmanie,BASSEIN_RIVER,,,
Bastia,France,BASTIA,42.697283,9.450880999999999,"Harbor.create(name: ""Bastia"", lat: 42.697283, lng: 9.450880999999999, query: ""BASTIA"")"
Bata,Guinee Equatoriale,BATA,1.8533177,9.779022699999999,"Harbor.create(name: ""Bata"", lat: 1.8533177, lng: 9.779022699999999, query: ""BATA"")"
Batu Pahat (Bandar Penggaram),Malaisie,KUALA_BATU_PAHAT,1.8490182,102.9260823,"Harbor.create(name: ""Batu Pahat (Bandar Penggaram)"", lat: 1.8490182, lng: 102.9260823, query: ""KUALA_BATU_PAHAT"")"
Beihai,Chine,BEIHAI,21.481291,109.120161,"Harbor.create(name: ""Beihai"", lat: 21.481291, lng: 109.120161, query: ""BEIHAI"")"
Beira,Mozambique,BEIRA,-19.7963816,34.8844867,"Harbor.create(name: ""Beira"", lat: -19.7963816, lng: 34.8844867, query: ""BEIRA"")"
Belawan,Indonesie,BELAWAN,3.784303,98.694221,"Harbor.create(name: ""Belawan"", lat: 3.784303, lng: 98.694221, query: ""BELAWAN"")"
Belem,Bresil,BELEM,-1.4557549,-48.4901799,"Harbor.create(name: ""Belem"", lat: -1.4557549, lng: -48.4901799, query: ""BELEM"")"
Belfast,Royaume-Uni,BELFAST,54.59728500000001,-5.93012,"Harbor.create(name: ""Belfast"", lat: 54.59728500000001, lng: -5.93012, query: ""BELFAST"")"
Belgrano,Argentine,PUERTO_BELGRANO,-34.5620844,-58.4566864,"Harbor.create(name: ""Belgrano"", lat: -34.5620844, lng: -58.4566864, query: ""PUERTO_BELGRANO"")"
Bella Bella,Canada,BELLA_BELLA,52.1605419,-128.1455793,"Harbor.create(name: ""Bella Bella"", lat: 52.1605419, lng: -128.1455793, query: ""BELLA_BELLA"")"
Bellingham,Etats-Unis,BELLINGHAM,48.7519112,-122.4786854,"Harbor.create(name: ""Bellingham"", lat: 48.7519112, lng: -122.4786854, query: ""BELLINGHAM"")"
Benicia,Etats-Unis,BENICIA,38.049365,-122.1585777,"Harbor.create(name: ""Benicia"", lat: 38.049365, lng: -122.1585777, query: ""BENICIA"")"
Benodet,France,BENODET,47.875568,-4.1063729,"Harbor.create(name: ""Benodet"", lat: 47.875568, lng: -4.1063729, query: ""BENODET"")"
Berbera,Somalie,BERBERA,10.4347941,45.0139904,"Harbor.create(name: ""Berbera"", lat: 10.4347941, lng: 45.0139904, query: ""BERBERA"")"
Bergen,Norvege,BERGEN,60.39126279999999,5.3220544,"Harbor.create(name: ""Bergen"", lat: 60.39126279999999, lng: 5.3220544, query: ""BERGEN"")"
Bermuda Island,Royaume-Uni (Bermudes),IRELAND_ISLAND,,,
Beypore,Inde,BEYPORE,11.173585,75.8040022,"Harbor.create(name: ""Beypore"", lat: 11.173585, lng: 75.8040022, query: ""BEYPORE"")"
Bhavnagar,Inde,BHAVNAGAR,21.7644725,72.15193040000001,"Harbor.create(name: ""Bhavnagar"", lat: 21.7644725, lng: 72.15193040000001, query: ""BHAVNAGAR"")"
Bilbao,Espagne,BILBAO,43.2630126,-2.9349852,"Harbor.create(name: ""Bilbao"", lat: 43.2630126, lng: -2.9349852, query: ""BILBAO"")"
